,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
3010,Chun Hsin Tseng,6,1,0.005333333333333333,0.25845833333333335,0.32354166666666667,0.239875,Alexei Popyrin,6,20,0.010499999999999999,0.2625,0.3594583333333333,0.24408333333333332,2,2,490,506,1
3082,Facundo Bagnis,4,3,0.0,0.625,0.48,0.533,Daniel Evans,6,3,0.034,0.724,0.714,0.5,0,1,595,1380,1
3154,Facundo Bagnis,6,8,0.031,0.6875,0.594,0.454,Daniel Evans,4,5,0.017,0.7284999999999999,0.675,0.4375,1,1,595,1380,1
3226,Facundo Bagnis,4,9,0.010333333333333333,0.4475,0.4086666666666667,0.38466666666666666,Daniel Evans,6,5,0.04733333333333334,0.39549999999999996,0.528,0.40216666666666673,1,2,595,1380,1
3298,Grigor Dimitrov,6,3,0.029,0.571,0.85,0.667,Aslan Karatsev,6,6,0.073,0.707,0.759,0.333,1,0,1395,635,0
3370,Grigor Dimitrov,7,12,0.058499999999999996,0.6385,0.8414999999999999,0.6335,Aslan Karatsev,5,8,0.092,0.62,0.7755000000000001,0.381,2,0,1395,635,0
3442,Juan Pablo Varillas,6,6,0.0,0.711,0.667,0.636,Alexander Zverev,4,4,0.083,0.667,0.792,0.333,1,0,546,2560,1
3514,Juan Pablo Varillas,1,7,0.0,0.6054999999999999,0.6515,0.5,Alexander Zverev,6,10,0.0415,0.75,0.8625,0.5,1,1,546,2560,1
3586,Juan Pablo Varillas,7,7,0.0,0.3821666666666667,0.4671666666666667,0.2843333333333333,Alexander Zverev,5,12,0.0335,0.45599999999999996,0.47783333333333333,0.295,2,1,546,2560,1
3658,Juan Pablo Varillas,6,11,0.0,0.25304166666666666,0.31504166666666666,0.18883333333333333,Alexander Zverev,6,16,0.008375,0.31999999999999995,0.35170833333333335,0.19874999999999998,2,2,546,2560,1
3730,Matteo Berrettini,3,3,0.0,0.727,0.75,0.333,Andy Murray,6,5,0.0,0.667,0.682,0.727,0,1,2490,770,1
3802,Matteo Berrettini,3,8,0.0,0.755,0.736,0.333,Andy Murray,6,6,0.04,0.6335,0.7410000000000001,0.6134999999999999,0,2,2490,770,1
3874,Matteo Berrettini,6,14,0.0,0.48699999999999993,0.537,0.211,Andy Murray,4,7,0.013333333333333334,0.4691666666666667,0.48300000000000004,0.3948333333333333,1,2,2490,770,1
