TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,2,200733,Jiri Lehecka,81,,set 2,2,1,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,2,0.065,1,0.032,31,20,0.645,14,39,0.359,34,70,0.486,0.645,14,20,0.700,6,11,0.545,1,2,0.500,0,2,0.000,5,25,0.200,9,14,0.643,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,1,200107,Adrian Mannarino,46,,set 1,1,1,WIN,3,4,0.750,3,3,1.000,6,7,0.857,3,0.103,0,0.000,29,18,0.621,16,26,0.615,34,55,0.618,0.655,13,19,0.684,5,10,0.500,2,3,0.667,3,5,0.600,9,16,0.562,7,10,0.700,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,2,200343,Federico Coria,75,,set 1,1,1,LOSE,0,3,0.000,1,4,0.250,1,7,0.143,2,0.077,0,0.000,26,10,0.385,11,29,0.379,21,55,0.382,0.615,7,16,0.438,3,10,0.300,2,5,0.400,1,3,0.333,6,19,0.316,5,10,0.500,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,1,200107,Adrian Mannarino,46,,set 2,2,1,WIN,3,3,1.000,3,3,1.000,6,6,1.000,3,0.200,0,0.000,15,12,0.800,19,30,0.633,31,45,0.689,0.733,10,11,0.909,2,4,0.500,0,0,0.000,3,5,0.600,12,21,0.571,7,9,0.778,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,2,200343,Federico Coria,75,,set 2,2,1,LOSE,0,3,0.000,0,3,0.000,0,6,0.000,0,0.000,2,0.067,30,11,0.367,3,15,0.200,14,45,0.311,0.700,9,21,0.429,2,9,0.222,2,5,0.400,0,0,0.000,1,11,0.091,2,4,0.500,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,1,200007,Alexander Zverev,12,,set 1,1,2,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,1,0.032,4,0.129,31,20,0.645,13,39,0.333,33,70,0.471,0.677,17,21,0.810,3,10,0.300,2,3,0.667,0,2,0.000,7,30,0.233,6,9,0.667,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,2,200733,Jiri Lehecka,81,,set 1,1,2,WIN,5,5,1.000,1,5,0.200,6,10,0.600,3,0.077,2,0.051,39,26,0.667,11,31,0.355,37,70,0.529,0.769,23,30,0.767,3,9,0.333,2,2,1.000,1,3,0.333,4,21,0.190,7,10,0.700,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,1,200007,Alexander Zverev,12,,set 2,2,2,LOSE,1,4,0.250,1,4,0.250,2,8,0.250,0,0.000,4,0.160,25,10,0.400,10,28,0.357,20,53,0.377,0.520,5,13,0.385,5,12,0.417,2,5,0.400,1,5,0.200,4,17,0.235,6,11,0.545,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,2,200733,Jiri Lehecka,81,,set 2,2,2,WIN,3,4,0.750,3,4,0.750,6,8,0.750,2,0.071,1,0.036,28,18,0.643,15,25,0.600,33,53,0.623,0.607,13,17,0.765,5,11,0.455,4,5,0.800,3,5,0.600,8,13,0.615,7,12,0.583,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,1,200137,Frances Tiafoe,19,,set 1,1,1,WIN,5,5,1.000,1,4,0.250,6,9,0.667,3,0.094,0,0.000,32,23,0.719,13,31,0.419,36,63,0.571,0.594,15,19,0.789,8,13,0.615,1,1,1.000,1,4,0.250,4,19,0.211,9,12,0.750,,
