TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,1,200227,Matteo Berrettini,16,-522,match,0,1,WIN,11,11,1,1,11,0.091,12,22,0.545,15,0.234,1,0.016,64,52,0.812,21,72,0.292,73,136,0.537,0.672,38,43,0.884,14,21,0.667,0,0,0,1,2,0.5,12,43,0.279,9,29,0.31,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-011,12/30/2022,,Finished,2,200045,Thiago Monteiro,71,357,match,0,1,LOSE,10,11,0.909,0,11,0,10,22,0.455,4,0.056,2,0.028,72,51,0.708,12,64,0.188,63,136,0.463,0.597,31,43,0.721,20,29,0.69,1,2,0.5,0,0,0,5,43,0.116,7,21,0.333,1,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-012,12/30/2022,,Finished,1,200414,Michail Pervolarakis,504,367,match,0,2,LOSE,2,7,0.286,0,7,0,2,14,0.143,2,0.042,5,0.104,48,20,0.417,7,36,0.194,27,84,0.321,0.542,14,26,0.538,6,22,0.273,3,8,0.375,0,1,0,2,20,0.1,5,16,0.312,1,4
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-012,12/30/2022,,Finished,2,200156,Dimitar Kuzmanov,196,-545,match,0,2,WIN,7,7,1,5,7,0.714,12,14,0.857,2,0.056,2,0.056,36,29,0.806,28,48,0.583,57,84,0.679,0.556,18,20,0.9,11,16,0.688,1,1,1,5,8,0.625,12,26,0.462,16,22,0.727,6,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-013,12/30/2022,,Finished,1,200092,Stan Wawrinka,148,-105,match,0,1,WIN,11,11,1,1,10,0.1,12,21,0.571,10,0.159,0,0,63,48,0.762,18,59,0.305,66,122,0.541,0.54,29,34,0.853,19,29,0.655,0,0,0,1,4,0.25,9,42,0.214,9,17,0.529,3,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-013,12/30/2022,,Finished,2,200116,Alexander Bublik,37,-123,match,0,1,LOSE,9,10,0.9,0,11,0,9,21,0.429,7,0.119,2,0.034,59,41,0.695,15,63,0.238,56,122,0.459,0.712,33,42,0.786,8,17,0.471,3,4,0.75,0,0,0,5,34,0.147,10,29,0.345,1,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-014,12/31/2022,,Finished,1,200011,Borna Coric,26,-368,match,0,1,WIN,9,11,0.818,4,11,0.364,13,22,0.591,4,0.049,2,0.025,81,49,0.605,31,70,0.443,80,151,0.53,0.63,37,51,0.725,12,30,0.4,8,10,0.8,4,9,0.444,19,50,0.38,12,20,0.6,3,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-014,12/31/2022,,Finished,2,200379,Francisco Cerundolo,30,268,match,0,1,LOSE,7,11,0.636,2,11,0.182,9,22,0.409,2,0.029,1,0.014,70,39,0.557,32,81,0.395,71,151,0.47,0.714,31,50,0.62,8,20,0.4,5,9,0.556,2,10,0.2,14,51,0.275,18,30,0.6,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-015,12/31/2022,,Finished,1,201143,Daniel Michalski,260,228,match,0,2,LOSE,8,10,0.8,0,10,0,8,20,0.4,2,0.022,2,0.022,93,55,0.591,23,78,0.295,78,171,0.456,0.667,41,62,0.661,14,31,0.452,8,10,0.8,0,5,0,11,55,0.2,12,23,0.522,1,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-015,12/31/2022,,Finished,2,200475,Timofey Skatov,142,-308,match,0,2,WIN,10,10,1,2,10,0.2,12,20,0.6,3,0.038,1,0.013,78,55,0.705,38,93,0.409,93,171,0.544,0.705,44,55,0.8,11,23,0.478,5,5,1,2,10,0.2,21,62,0.339,17,31,0.548,3,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-016,12/31/2022,,Finished,1,200016,David Goffin,53,178,match,0,2,LOSE,7,11,0.636,2,11,0.182,9,22,0.409,2,0.031,2,0.031,64,38,0.594,25,72,0.347,63,136,0.463,0.516,22,33,0.667,16,31,0.516,3,7,0.429,2,8,0.25,10,48,0.208,15,24,0.625,3,4
